mac,dep_station,dep_time,time,dep_time_group
mac,dep_station,dep_time,time,NaN
34:14:5f:b4:94:01,heroes,2,8427,0
5c:51:88:ff:a1:0b,heroes,2,839,0
a0:32:99:01:c1:d5,heroes,3,1012,0
f4:f5:24:72:27:ec,heroes,4,714,0
da:a1:19:01:85:98,heroes,9,80,0
da:a1:19:31:d0:84,heroes,14,8786,0
8c:bf:a6:9f:63:db,heroes,16,867,0
da:a1:19:57:bf:aa,heroes,28,8777,0
da:a1:19:07:6f:23,heroes,36,7857,0
da:a1:19:55:f4:df,heroes,47,2873,0
da:a1:19:90:9b:86,heroes,69,7448,0
d0:ff:98:95:7f:8a,heroes,101,615,0
14:a5:1a:f4:ec:9f,heroes,107,630,0
da:a1:19:65:72:26,heroes,117,1308,0
da:a1:19:ad:5d:48,heroes,121,6772,0
da:a1:19:f4:5c:10,heroes,161,7705,0
3c:f7:a4:5a:fb:d9,heroes,181,714,0
da:a1:19:38:69:54,heroes,197,1855,0
00:5a:13:85:b9:76,heroes,215,458,0
d4:38:9c:b6:c8:07,heroes,220,245,0
b8:1d:aa:fb:d0:c7,heroes,220,243,0
da:a1:19:97:6d:58,heroes,238,3075,0
d4:38:9c:d6:0c:73,heroes,250,331,0
bc:ff:eb:bb:78:a7,heroes,259,321,0
14:a5:1a:6f:89:f2,heroes,259,655,0
da:a1:19:2d:ca:7e,heroes,285,3000,0
0c:2c:54:57:44:61,heroes,299,479,0
94:0e:6b:2e:2e:82,heroes,306,474,300
a8:96:75:b4:18:5f,heroes,306,453,300
da:a1:19:aa:db:c6,heroes,313,7546,300
50:9e:a7:57:b3:4c,heroes,320,315,300
da:a1:19:a1:e5:d0,heroes,324,742,300
da:a1:19:0a:61:15,heroes,328,996,300
da:a1:19:b7:e8:9c,heroes,346,714,300
da:a1:19:2a:00:eb,heroes,373,2802,300
d0:b1:28:ce:2f:5f,heroes,392,242,300
3c:dc:bc:45:be:9c,heroes,417,318,300
da:a1:19:5a:8b:3f,heroes,422,6831,300
9c:5c:f9:da:03:97,heroes,427,183,300
f0:d7:aa:da:6c:86,heroes,430,184,300
9c:c1:72:33:79:9b,heroes,439,450,300
da:a1:19:b7:c4:af,heroes,533,4944,300
d0:77:14:83:c8:07,heroes,546,4087,300
3c:fa:43:3d:ac:56,heroes,1038,593,900
0c:2c:54:57:cd:4f,heroes,1572,740,1500
5c:51:88:4e:91:52,heroes,1704,391,1500
3c:fa:43:3c:ae:92,heroes,2492,879,2400
00:ee:bd:9e:fd:79,heroes,2702,248,2700
44:80:eb:12:a5:d3,heroes,2749,297,2700
74:ba:db:24:b0:40,heroes,2755,192,2700
d0:ff:98:a2:cd:f9,heroes,2827,518,2700
20:a6:80:4a:00:ac,heroes,2867,492,2700
f0:43:47:50:bc:20,heroes,2915,288,2700
dc:0b:34:de:4d:fd,heroes,2917,430,2700
a0:32:99:c7:16:02,heroes,2921,423,2700
f4:cb:52:ac:fe:d9,heroes,2925,314,2700
10:44:00:4d:47:d2,heroes,2930,309,2700
7c:1c:68:d5:1d:99,heroes,2953,333,2700
80:6c:1b:a3:1f:4e,heroes,2960,264,2700
ac:37:43:03:e4:c0,heroes,2976,386,2700
40:b8:37:48:68:d2,heroes,2981,375,2700
54:27:58:94:04:fd,heroes,2982,379,2700
2c:59:8a:4e:86:a1,heroes,2985,284,2700
50:a7:2b:d8:99:d5,heroes,3014,362,3000
cc:fd:17:cf:d3:53,heroes,3019,962,3000
88:d7:f6:b2:f4:9c,heroes,3043,337,3000
a8:b8:6e:2d:ee:35,heroes,3053,326,3000
d0:04:01:d8:ff:63,heroes,3209,3860,3000
60:83:34:5d:e7:59,heroes,3235,205,3000
24:da:9b:f7:ae:b7,heroes,3327,571,3300
dc:bf:e9:21:69:2b,heroes,3393,3431,3300
f8:cf:c5:41:91:06,heroes,3486,5341,3300
d0:31:69:de:57:3b,heroes,3522,5226,3300
d0:65:ca:4a:a6:93,heroes,3586,374,3300
44:78:3e:6a:b2:36,heroes,3645,867,3600
da:a1:19:7a:19:cd,heroes,3686,3363,3600
bc:e6:3f:9e:fa:bf,heroes,3710,4556,3600
80:58:f8:54:08:5f,heroes,3799,1669,3600
04:f1:28:06:cd:07,heroes,3839,3622,3600
d0:fc:cc:a5:a4:e5,heroes,3927,699,3900
a8:96:75:d6:1c:d0,heroes,3948,4168,3900
60:1d:91:d1:89:af,heroes,4069,490,3900
38:80:df:8c:bd:d0,heroes,4074,499,3900
e0:c9:7a:66:05:11,heroes,4128,445,3900
cc:61:e5:53:0c:09,heroes,4268,341,4200
bc:ff:eb:bc:a9:2d,heroes,4404,226,4200
48:88:ca:19:25:33,heroes,4411,2936,4200
14:1f:78:53:e6:08,heroes,4438,622,4200
60:e3:ac:de:fb:29,heroes,4451,667,4200
24:da:9b:79:0f:77,heroes,4474,645,4200
da:a1:19:1e:86:3a,heroes,4490,624,4200
44:d8:84:44:ad:45,heroes,4546,771,4500
2c:4d:54:78:eb:5c,heroes,4579,972,4500
da:a1:19:f3:00:b4,heroes,4591,4191,4500
da:a1:19:06:4a:fe,heroes,4716,421,4500
da:a1:19:7b:88:3c,heroes,8458,359,8400
44:c3:46:d7:25:61,heroes,8528,285,8400
90:68:c3:1e:bf:50,heroes,8555,267,8400
